id,country,capital,area
"21562","French Polynesia","Papeete","4167"
"12652","Reunion","Saint-Denis","2510"
"9509","Montserrat","Plymouth","100"
"6157","Brunei","Bandar Seri Begawan","5770"
"6112","Niue","Alofi","260"
"4092","Macau","Macau","16"
"15773","Palau","Koror","458"
"17257","Sierra Leone","Freetown","71740"
"20324","Portugal","Lisbon","92080"
"17636","Kenya","Nairobi","582650"
"21536","Cocos Islands","West Island","14"
"10005","Qatar","Doha","11000"
"2081","Barbados","Bridgetown","430"
"20568","Malawi","Lilongwe","118480"
"10292","Bulgaria","Sofia","110910"
"20091","Afghanistan","Kabul","647500"
"19147","Cote dIvoire","Yamoussoukro","322460"
"265","Tonga","Nukualofa","748"
"16652","United States","Washington","9372610"
"15921","Kiribati","Tarawa","717"
"10467","Netherlands","Amsterdam","37330"
"12088","Cook Islands","Avarua","240"
"13365","Seychelles","Victoria","455"
"18421","Ecuador","Quito","283560"
"9951","Ireland","Dublin","70280"
"13060","Greece","Athens","131940"
"3989","Luxembourg","Luxembourg","2586"
"7591","Turks and Caicos Islands","Grand Turk","430"
"5202","Indonesia","Jakarta","1919440"
"48","Malaysia","Kuala Lumpur","329750"
"10942","Bahrain","Manama","620"
"10963","Finland","Helsinki","337030"
"19576","Bhutan","Thimphu","47000"
"2353","Bahamas","Nassau","13940"
"18221","Benin","Porto-Novo","112620"
"17513","Saudi Arabia","Riyadh","1960582"
"8818","Bosnia and Herzegovina","Sarajevo","51233"
"7318","French Guiana","Cayenne","91000"
"21543","Switzerland","Bern","41290"
"15998","Trinidad and Tobago","Port-of-Spain","5130"
"21183","Tuvalu","Funafuti","26"
"224","Equatorial Guinea","Malabo","28050"
"13446","Austria","Vienna","83850"
"1127","Solomon Islands","Honiara","28450"
"6973","Netherlands Antilles","Willemstad","960"
"17063","Hungary","Budapest","93030"
"1991","Eritrea","Asmara","121320"
"19413","Egypt","Cairo","1001450"
"11124","Iceland","Reykjavik","103000"
"8331","Turkmenistan","Ashgabat","488100"
"10146","Colombia","Bogota","1138910"
"8473","Uganda","Kampala","236040"
"14974","Italy","Rome","301230"
"16715","Cape Verde","Praia","4030"
"19925","Togo","Lome","56790"
"6878","Mali","Bamako","1240000"
"12799","Liberia","Monrovia","111370"
"17932","Croatia","Zagreb","56538"
"20868","Romania","Bucharest","237500"
"10683","Azerbaijan","Baku","86600"
"68","Zambia","Lusaka","752610"
"746","Western Sahara","El Alaiun","266000"
"14775","Tunisia","Tunis","163610"
"7224","Puerto Rico","San Juan","9104"
"1500","Chad","NDjamena","1284000"
"2009","Jersey","Saint Helier","117"
"2529","Jamaica","Kingston","10990"
"8649","Mauritania","Nouakchott","1030700"
"1872","Singapore","Singapore","632.6"
"3126","Wallis and Futuna","Mata-Utu","274"
"13377","Pakistan","Islamabad","803940"
"6057","Belarus","Minsk","207600"
"7372","Albania","Tirane","28750"
"11038","Ukraine","Kiev","603700"
"18096","Latvia","Riga","64100"
"14368","American Samoa","Pago Pago","199"
"6603","Swaziland","Mbabane","17360"
"3374","Tanzania","Dar es Salaam","945090"
"21433","Libya","Tripoli","1759540"
"17121","Mozambique","Maputo","801590"
"17983","Guinea","Conakry","245860"
"5164","Uruguay","Montevideo","176220"
"2286","Fiji","Suva","18270"
"16064","Morocco","Rabat","446550"
"9095","British Virgin Islands","Road Town","150"
"19958","China","Beijing","9596960"
"5800","Armenia","Yerevan","29800"
"16533","Argentina","Buenos Aires","2766890"
"6279","Monaco","Monaco","1.9"
"13710","Oman","Muscat","212460"
"7706","Guatemala","Guatemala City","108890"
"10052","Pitcairn Islands","Adamstown","47"

